source_path,tracked_or_external,hash,sheet_or_layer,row_count,port_policy,owning_module,baseline_use,expansion_use,notes
scenarios/ME IRP 2024/sub_scenarios/transmission_expansion.xlsx,tracked,dcd488e078a7f18a703fd6061ac1f8ad46785339495bc29ad0a8d6303ca1d445,Sheet1,16,validation_reference,13,audit_only,expansion_input_after_review,TDP corridor evidence; expansion handoff
scenarios/Coal_Flexibilisation/scenarios_to_run.xlsx,tracked,253fdfe68d50a192c144608dd9e9b7545fb8a8eb87a79730d9420510c83fc7c1,scenario_definition;archive,928,validation_reference,08,audit_only,expansion_input_after_review,Coal flex master scenario workbook
scenarios/Coal_Flexibilisation/sub_scenarios/annual_load.xlsx,tracked,0d926efb64021cec5066653301bdfe2556bc6cea1cafe4e7ad9dbd6205fdd553,annual_load,9,validation_reference,06,audit_only,expansion_input_after_review,Coal flex annual load
scenarios/Coal_Flexibilisation/sub_scenarios/aux_stg_feed.xlsx,tracked,53845fb2e84ecb4bbf000198560d5b8503ce4ea675a8b3f7be6b1306f567272f,allowable_carriers,14,audit_only,08,audit_only,audit_only,Auxiliary storage feed
scenarios/Coal_Flexibilisation/sub_scenarios/emissions.xlsx,tracked,a8aa799e729b8cee5dff3d0e23500bf4babc6602077cb1e8614334ac05d2df91,annual_carbon_constraint;carbon_tax;fixed_generator_emissions;extendable_generator_emissions,238,validation_reference,07,audit_only,expansion_input_after_review,Emissions factors
scenarios/Coal_Flexibilisation/sub_scenarios/extendable_technologies.xlsx,tracked,0c4818338ab17992658220925caa84fc671a367e4f6aaf0bb7ffbe2145d35654,active;parameter_mapping;parameters;max_total_installed;min_total_installed;max_annual_installed;min_annual_installed,923,validation_reference,13,audit_only,expansion_input_after_review,Coal flex extendable techs
scenarios/Coal_Flexibilisation/sub_scenarios/fixed_technologies.xlsx,tracked,27e0cb58d1db16a99d397956ec2588f65ce319ef08355c20fa1eadfb013ad4a8,conventional;renewables;storage,423,validation_reference,08,baseline_input_after_review,expansion_input_after_review,Coal flex fixed technologies — fleet candidates
scenarios/Coal_Flexibilisation/sub_scenarios/fuel_prices.xlsx,tracked,63af0d0990efc9d55d0f1dcc5b2f6ba162e298aad11486d9ebcf6a1447074d49,fixed_generators;extendable_generators;green_NH3;fuel_and_co2tax;carbon_tax,331,validation_reference,07,validation_reference,expansion_input_after_review,Fuel prices
scenarios/Coal_Flexibilisation/sub_scenarios/operational_constraints.xlsx,tracked,fa14824e6c1ad8351825447ee419057f6e64340cc53aa551b78eafa6abe526c5,operational_constraints;operational_reserves,159,validation_reference,11,validation_reference,expansion_input_after_review,Operational constraints
scenarios/Coal_Flexibilisation/sub_scenarios/phased_decommissioning.xlsx,tracked,d18161c823d13780f29499c158f46b5fd669ccdbdb7dc867f510e1f626d735f5,schedule;archive,326,validation_reference,08,baseline_input_after_review,expansion_input_after_review,IRP-style coal retirement schedule analogue
scenarios/Coal_Flexibilisation/sub_scenarios/plant_availability.xlsx,tracked,da2079af787f03f643d90cc5302dce332815232fd96da64d39519645a2a93d95,annual_availability;outage_profiles,391,validation_reference,11,validation_reference,expansion_input_after_review,Plant availability
scenarios/Coal_Flexibilisation/sub_scenarios/reserve_margin.xlsx,tracked,3da78094bb9ddcf1c08a66d821d6d6a7c8476d855f47d83b8f2a8d529688e51d,reserve_margin;capacity_credits,32,validation_reference,11,validation_reference,expansion_input_after_review,Reserve margin
scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,tracked,1e386aed6b3dcf7dee537a2366bc7d3aebc3cef6c2c34d2e1889026262b24964,transmission_expansion,16,validation_reference,13,audit_only,expansion_input_after_review,Coal flex TDP corridors
scenarios/Coal_Flexibilisation/sub_scenarios/weather.xlsx,tracked,d13701b2b55486c5a3a1f1b72b4063bd4a6f554db521204c0b990eafb64a5512,weather_years,18,audit_only,03,audit_only,audit_only,Weather year toggles
pre_processing/resource_processing/reipppp_solar_data.csv,tracked,457b7a08f4d437daff93378227fd601c1f7825e85f5539794917c7b64551f3ca,,64,validation_reference,08,baseline_input_after_review,expansion_input_after_review,REIPPPP solar plants
pre_processing/resource_processing/reipppp_wind_data.csv,tracked,4fd588be848d83e909f99e9c4ef1e52e9d243ed4fd1046044c4da3679e5bfd36,,70,validation_reference,08,baseline_input_after_review,expansion_input_after_review,REIPPPP wind plants
pre_processing/resource_processing/csir_fise_SWA_data.xlsx,tracked,45481754cdd82755badd8c1abc5d264d15ac21ed2742425ec1b1cd3ee9596812,1-solar_pv;1-wind;27-solar_pv;27-wind,1083692,audit_only,03,audit_only,audit_only,CSIR FISE SWA workbook
data/bundle/supply_regions/rsa_supply_regions.gpkg,external,eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,1;27;10;34;159,231,validation_reference,09,validation_reference,expansion_input_after_review,Primary supply-region GeoPackage
data/bundle/supply_regions/rsa_supply_regions2.gpkg,external,6f1bb146bbad44ab9c1f475c92c302a6be48c5c71ad96a5347540a5dc65e4ffc,1;27;10;34;159,231,validation_reference,09,validation_reference,expansion_input_after_review,Secondary supply-region GeoPackage
data/bundle/CSIR/Mesozones,external,2d7e7e6ce00115195b4cb66302c6e4175f5c72d4931406d10d817ed03dd718bb,<directory>,-1,audit_only,06,audit_only,audit_only,CSIR Mesozones directory; traversed by load_weights audit
data/bundle/GCCA 2025 GIS/AREAS_GCCA2025.gpkg,external,fb00bbf77809acda981a982384aadc389c5ca6b40205fde670049fa8f0a94066,LOCAL_AREA_GCCA2025;MTS_ZONES_GCCA2025;SUPPLY_AREA_GCCA2025;layer_styles,206,audit_only,09,audit_only,audit_only,GCCA 2025 supply areas
data/bundle/GCCA 2025 GIS/SUPPLY_AREA_GCCA2025.shp,external,3fb8c39f3f2bea9a4f8e6ba1bd4f927df8987d1547f669d021a167fe3a425c9a,,10,audit_only,09,audit_only,audit_only,GCCA 2025 supply-area shapefile
data/bundle/GCCA 2025 GIS/LOCAL_AREA_GCCA2025.shp,external,28c59160cfa3773be291f1a2c10456fdbe80bf430b8960c24f86340690fcf393,,34,audit_only,09,audit_only,audit_only,GCCA 2025 local-area shapefile
data/bundle/GCCA 2025 GIS/MTS_ZONES_GCCA2025.shp,external,c8e209587e5d609a916f5bf976d9c1c12f37bf80c00221c1f381652465c6c33b,,159,audit_only,09,audit_only,audit_only,GCCA 2025 MTS zones
data/bundle/Shapefiles/Existing_Lines.shp,external,244d42fb098ed61f4feb91ab4ef31c7dc12eae68b7d2ae28e541be7b6d3bcfc8,,348,validation_reference,09,validation_reference,expansion_input_after_review,Existing transmission lines
data/bundle/Shapefiles/Planned_Lines.shp,external,e8a071b396e7bdc15a6563d9d4bb0452308f475d53f8c15e252eae021cfa2367,,96,validation_reference,13,audit_only,expansion_input_after_review,Planned transmission lines
data/bundle/Shapefiles/Existing_Substations.shp,external,d73c8dcb469ef919d2e4204695f2993578c57339eef37710e3bf66ab2b66ec26,,18,audit_only,09,audit_only,audit_only,Existing substations
data/bundle/Shapefiles/Planned_Substations.shp,external,d48bf7f5aac5f0873abecb87b38c07034fe85edb6713e9d476fd525b9ecaec9a,,24,audit_only,13,audit_only,audit_only,Planned substations
data/bundle/Shapefiles/MTS_Subs2022.shp,external,6496e969730a940c24916e7d8eabce6b5b3ca001b1d3e9abd21b445da4d0f8a1,,198,audit_only,09,audit_only,audit_only,Main Transmission Substations 2022
data/bundle/transmission_grid/eskom_gcca_2022/Existing_Lines.shp,external,244d42fb098ed61f4feb91ab4ef31c7dc12eae68b7d2ae28e541be7b6d3bcfc8,,348,audit_only,09,audit_only,audit_only,GCCA 2022 existing lines (deeper copy)
data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,external,3836bc4ce99523968de70f60288ec8ce347b2f4440a6fbec0d9e6a460d3a67b7,,102,audit_only,13,audit_only,expansion_input_after_review,TDP 2023 digitised corridors
data/bundle/Power_corridors,external,4a99b99d77c8e423cb8b0f7c550eb1b5124e94368e3a1420166ebc361d6cb54e,<directory>,-1,audit_only,13,audit_only,expansion_input_after_review,Power corridors directory
data/bundle/REDZ_DEA_Unpublished_Draft_2015,external,3e56d5a52838fe433359675c8d92eac8585ba192971e3796ab09b884c97023b8,<directory>,-1,audit_only,13,audit_only,expansion_input_after_review,REDZ DEA unpublished draft
data/bundle/Phase2_REDZs,external,fd814ef06e379e5b97f6ad506f32ce2ab05c3d2eab9949dfa8aa0096a1a23e10,<directory>,-1,audit_only,13,audit_only,expansion_input_after_review,Phase 2 REDZs
data/bundle/SAPAD_OR_2023_Q3.shp,external,c42aa5bad52fa93070eea51ea35b900e821af9ec24b4e8c10de2f28e9db1a429,,1655,audit_only,13,audit_only,expansion_input_after_review,Protected areas (SAPAD)
data/bundle/SACAD_OR_2023_Q3.shp,external,9bdf1af3f1fb68a6a44277111256db30b02d391f750c109b6dc87d74a4d657f6,,49,audit_only,13,audit_only,expansion_input_after_review,Conservation areas (SACAD)
data/bundle/SALandCover_OriginalUTM35North_2013_GTI_72Classes,external,106746407982d55c47035eefba907e1a03a1f68e697d96881645f0ba65b76ffd,<directory>,-1,audit_only,13,audit_only,expansion_input_after_review,SA land cover classification raster set
data/bundle/ZAF_wind-speed_100m.tif,external,5932023031c50465db31727742526b5b200c13b84fbf7dc9c7bbf01a291b859e,,-1,audit_only,13,audit_only,expansion_input_after_review,ZAF wind speed @100m
data/bundle/ZAF15adjv4.tif,external,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,-1,audit_only,13,audit_only,expansion_input_after_review,ZAF 15s adjusted DEM
data/bundle/Shapefiles/RE_IPP_1_to_4b.shp,external,92b643d6ba8f79b9dc5585451f76621e5c5282cc6c8b8c368ead2a7bb8c31d8c,,98,audit_only,08,audit_only,expansion_input_after_review,REIPPPP rounds 1–4b siting
data/bundle/Existing_Lines.shp,external,2c07d8c49bc2b36ba10b0a5ef89706d00e53522c7b8b2405bbc4a19b69530668,,-1,do_not_port,09,audit_only,audit_only,Flat copy; canonical lives at data/bundle/Shapefiles/Existing_Lines.shp
data/bundle/TDP_2023_32.shp,external,3836bc4ce99523968de70f60288ec8ce347b2f4440a6fbec0d9e6a460d3a67b7,,-1,do_not_port,13,audit_only,audit_only,Flat copy; canonical at data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp
scripts/solve_network.py,tracked,,,-1,do_not_port,11,audit_only,audit_only,ABSENT at pin: Not present at pinned commit
scripts/add_extra_components.py,tracked,,,-1,do_not_port,08,audit_only,audit_only,ABSENT at pin: Not present at pinned commit
scripts/build_renewable_profiles.py,tracked,,,-1,do_not_port,03,audit_only,audit_only,ABSENT at pin: Not present at pinned commit
pre_processing/resource_processing/reipppp_phs_data.csv,tracked,,,-1,do_not_port,08,audit_only,audit_only,ABSENT at pin: Not present at pinned commit
