artifact_name,path,hash,owner,accepted_validation_stage,baseline_only_or_future_scenario_input,receiving_contract,notes
OSM versus St Clair ratings comparison,data/za_audit/za_osm_vs_stclair_ratings_comparison.csv,1dc5989667a1a69e7f6100148935f993abeaee705c46cf59a583dcb76128edbd,ZA 09/13,accepted rating evidence,both,07_implementation_handoff.md busmap grid input,Rating model evidence
fixed network audit,data/za_audit/za_fixed_network_audit.csv,5bd8c3d03389e12f9f67914a33e362bc42638f903191e071fd725fdcb11dedcb,ZA 12/13,accepted validation evidence,baseline_only,07_implementation_handoff.md validation evidence,Fixed network validation audit
fixed network extendable audit,data/za_audit/za_fixed_network_extendable_audit.csv,00d278eb9e4130650f3c834194a0b452090bf6a31e2e82cb21806105606b2945,ZA 12/13,accepted validation evidence,both,07_implementation_handoff.md validation evidence,Extendable status evidence for baseline handoff
local carrier cost rows,data/za_audit/za_local_carrier_cost_rows.csv,31feefa7904b8ad8d2b862bbb222093b7e6d40bf219d757b859d0b158cacbd56,ZA 07/13,accepted local carrier cost input,both,07_implementation_handoff.md cost data,Local ZA carrier rows
costs fuels efficiencies audit,data/za_audit/za_costs_fuels_efficiencies_audit.csv,8cb16c69f89ef805c9583880ed85468897686e571d87d50ff418eeabb796eb3f,ZA 07/13,accepted cost evidence,both,07_implementation_handoff.md cost data,Cost audit evidence but horizon audit still required
base costs file,data/costs.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,ZA 07/13,present cost input,both,07_implementation_handoff.md cost data,Present locally but final horizon cost audit still required
costs 2025 file,data/costs_2025.csv,c089d42b9563a88b12831eb2a23ea9c90ff323d06cb8a1ef9243174914a435b8,ZA 07/13,present cost input,future_scenario_input,07_implementation_handoff.md cost data,Present locally but not accepted as final horizon cost
costs 2030 file,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,ZA 07/13,present cost input,future_scenario_input,07_implementation_handoff.md cost data,Present locally but final horizon cost audit still required
costs 2040 file,data/costs_2040.csv,missing,ZA 07/13,missing horizon cost,missing_required,07_implementation_handoff.md cost data,Missing locally and required before final horizon cost selection
costs 2050 file,data/costs_2050.csv,missing,ZA 07/13,missing horizon cost,missing_required,07_implementation_handoff.md cost data,Missing locally and required before final horizon cost selection
coal EAF audit,data/za_audit/za_coal_eaf_audit.csv,136c4eb81c8cc02ffc63e67b0969f40550c689dcb20a3ab00708d368e0ee8af5,ZA 11/13,accepted baseline availability evidence,baseline_only,07_implementation_handoff.md availability input,2023 coal availability evidence only
coal EAF hourly 2023,data/za_validation/za_coal_eaf_hourly_2023.csv,5fcae281fb9036e4c31c93518e69ac579570f805e5baf3de9b9fd12bdfa8fb95,ZA 11/13,accepted baseline availability evidence,baseline_only,07_implementation_handoff.md availability input,Must be stripped for future scenarios
coal plants 2023,data/za_validation/za_coal_plants_2023.csv,a2adc0fc8b85ace97a628ae24cb9e6dd3478543f457333bcf3de31a6fd699ae5,ZA 11/13,accepted plant availability evidence,both,07_implementation_handoff.md availability input,Plant identity carries forward but dated availability fields do not
pypsa-rsa availability audit,data/za_audit/pypsa_rsa_availability_audit.csv,2b9695d752d669be03394a59661a96ce7e8a70447477eda6f3d33298c50b59de,ZA 11/13,corroborating availability evidence,baseline_only,07_implementation_handoff.md availability input,Corroborating audit only
future coal EAF policy,data/za_audit/za_future_coal_eaf_policy.csv,missing,ZA 13,unresolved future availability input,missing_required,07_implementation_handoff.md availability input,80 percent EAF is provisional and needs source provenance
eta-y defaults,data/za_audit/za_reliability_eta_y.csv,da2a392c10335565e26eb2a3f751d198ee2d03b4ef738a21094b923534548a38,ZA 13,accepted reliability parameter input,future_scenario_input,07_implementation_handoff.md reliability stringency input,Configurable defaults not hardcoded constants
retirement policy,data/za_audit/za_retirement_policy.csv,d670fd8094890e02f8b4525bddbbaf10daaaa5b1afc4f68a87e3f1095424f43c,ZA 13,placeholder-backed policy input,future_scenario_input,07_implementation_handoff.md brownfield future asset input,IRP 2023 canonical source pending local file and pypsa-rsa evidence is corroborating only
future asset policy,data/za_audit/za_future_asset_policy.csv,a254c3b5da1b5b1bc74fa32fd2d4a601013fe91b820e6e6a7967e4392f6fb6f0,ZA 13,accepted policy input,future_scenario_input,07_implementation_handoff.md brownfield future asset input,Class policy only and no invented projects
baseline reliability diff,data/za_audit/za_baseline_reliability_diff.csv,7a8d60ccee99e1625eaf083bd857a27034bb14f6b45a7b13832f1604395a8ebb,ZA 13,accepted handoff evidence,both,07_implementation_handoff.md receiving review input,Machine-readable baseline versus future assumption diff
validation report,doc/za_2023_validation_report.md,0ed60e307af4aa8ccc6e0d13b62176812e7cb27be332a6b080cfdd2c476f10f6,ZA 12/13,accepted validation evidence,baseline_only,07_implementation_handoff.md validation evidence,Existing validation report referenced only
provenance report,doc/za_data_provenance.md,02d012815be299af341b6cfad139c94aa1ed156f8437910c6591cafcc5c55f11,ZA 01/04/12,accepted provenance evidence,both,07_implementation_handoff.md provenance evidence,Existing provenance report referenced only
source hashes registry,data/za_audit/source_hashes.csv,381d26f44632dba4555543855405063733713e855984e6f6266e15e1ca72d27f,ZA 01/04/12,accepted provenance evidence,both,07_implementation_handoff.md provenance evidence,Existing source hash evidence
input file manifest,data/za_audit/input_file_manifest.csv,67d381561ecd4dd12cd147f2e639683ffc4725fa030e9f95c4c877050370618f,ZA 01/04/12,accepted provenance evidence,both,07_implementation_handoff.md provenance evidence,Existing input manifest evidence
limitations report,doc/za_model_limitations.md,88a4f0d836865040600d41adb611d558e0ec068f7c8c3162b25d905ed9e882ef,ZA 12/13,accepted limitations evidence,baseline_only,07_implementation_handoff.md limitations evidence,Existing limitations report referenced only
brownfield transition decisions,doc/za_brownfield_transition_decisions.md,257ab3a71e4a48adbc9c20567e84c8ff4d5583f8a291a36e21b444fa0b6dea5f,ZA 13,accepted handoff narrative,both,07_implementation_handoff.md receiving review input,Documents carry-forward stripped inputs and blockers
ZA handoff narrative,doc/za_handoff.md,43c3471b11ec1663022a8e195d7fea29c94cd16ede4e178a65d4a68119451c8c,ZA 13,accepted handoff narrative,both,07_implementation_handoff.md receiving review input,Reliability Plan has not yet been rewritten
regional VOLL input placeholder,data/reliability/voll/regional_voll.csv,missing,external observation workstream,unresolved external input,missing_required,07_implementation_handoff.md external input contract,User intent is regional load-shedding marginal cost but dispatch semantics unresolved
observation adapter expected thesis input,data/reliability/observations/ntl_settlement_2023.parquet,missing,external observation workstream,external input pending,external_input,07_implementation_handoff.md observation schema adapter,Thesis input remains external and synthetic dry-run input is allowed for interface testing
Scenario 4 cutout 2019,cutouts/cutout-2019-era5.nc,missing,ZA 03/13,missing weather robustness input,missing_required,07_implementation_handoff.md weather-year input,Scenario 4 robustness cutout not ready locally
Scenario 4 cutout 2020,cutouts/cutout-2020-era5.nc,missing,ZA 03/13,missing weather robustness input,missing_required,07_implementation_handoff.md weather-year input,Scenario 4 robustness cutout not ready locally
Scenario 4 cutout 2021,cutouts/cutout-2021-era5.nc,missing,ZA 03/13,missing weather robustness input,missing_required,07_implementation_handoff.md weather-year input,Scenario 4 robustness cutout not ready locally
Scenario 4 cutout 2022,cutouts/cutout-2022-era5.nc,missing,ZA 03/13,missing weather robustness input,missing_required,07_implementation_handoff.md weather-year input,Scenario 4 robustness cutout not ready locally
Scenario 4 cutout 2023,cutouts/cutout-2023-era5.nc,0c6b22fa6b8a0a469cc24460df2014fdb9c041035985dfb3b1aa7d6608e19076,ZA 03/13,accepted smoke weather input,future_scenario_input,07_implementation_handoff.md weather-year input,Only near-term smoke and presentation weather input ready locally
Scenario 4 cutout 2024,cutouts/cutout-2024-era5.nc,missing,ZA 03/13,missing weather robustness input,missing_required,07_implementation_handoff.md weather-year input,Scenario 4 robustness cutout not ready locally
