scenario_set,role,rel_path,sheet,n_rows,n_cols,columns,active_scenario_flag,evidence_class,hash
Coal_Flexibilisation,master,scenarios/Coal_Flexibilisation/scenarios_to_run.xlsx,scenario_definition,245,45,index|scenario|solver|show|export|export_iteration|run_scenario|variable_storage_vom|simulation_years|weather|dispatch_coal_flex|regions|resource_area|line_expansion|options|transmission_grid|fixed_conventional|phased_decom|unit_committment|endogenous_coal_decom|override_coal_msl|coal_ramp_rate_multiplier|fixed_fuel_prices|fixed_emissions|fixed_renewables|fixed_storage|extendable_active|extendable_parameters|global_discount_rate|extendable_fuel_prices|extendable_emissions|extendable_max_total|extendable_min_total|extendable_max_annual|extendable_min_annual|aux_stg_feed|operational_limits|operational_reserves|outage_profiles|annual_availability|carbon_constraints|carbon_tax|load_trajectory|reserve_margin|capacity_credits,,baseline,253fdfe68d50a192c144608dd9e9b7545fb8a8eb87a79730d9420510c83fc7c1
Coal_Flexibilisation,master,scenarios/Coal_Flexibilisation/scenarios_to_run.xlsx,archive,685,54,index|scenario|iteration|iteration_prev|machine|capacity_solver|dispatch_solver|show|export|export_iteration|run_scenario|dispatch_sensitivity|dispatch_capacity_modifiers|variable_storage_vom|capacity_years|dispatch_years|capacity_weather|dispatch_weather|dispatch_coal_flex|regions|resource_area|line_expansion|options|transmission_grid|fixed_conventional|phased_decom|unit_com_in_capacity|endogenous_coal_decom|override_coal_msl|coal_ramp_rate_multiplier|fixed_fuel_prices|fixed_emissions|fixed_renewables|fixed_storage|extendable_active|extendable_parameters|global_discount_rate|extendable_fuel_prices|extendable_emissions|extendable_max_total|extendable_min_total|extendable_max_annual|extendable_min_annual|aux_stg_feed|capacity_operational_limits|dispatch_operational_limits|operational_reserves|outage_profiles|annual_availability|carbon_constraints|carbon_tax|load_trajectory|reserve_margin|capacity_credits,,baseline,253fdfe68d50a192c144608dd9e9b7545fb8a8eb87a79730d9420510c83fc7c1
Coal_Flexibilisation,annual_load,scenarios/Coal_Flexibilisation/sub_scenarios/annual_load.xlsx,annual_load,10,46,scenario|units|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060|source|,,baseline,0d926efb64021cec5066653301bdfe2556bc6cea1cafe4e7ad9dbd6205fdd553
Coal_Flexibilisation,aux_stg_feed,scenarios/Coal_Flexibilisation/sub_scenarios/aux_stg_feed.xlsx,allowable_carriers,15,39,scenario|carrier|apply_to|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,baseline,53845fb2e84ecb4bbf000198560d5b8503ce4ea675a8b3f7be6b1306f567272f
Coal_Flexibilisation,emissions,scenarios/Coal_Flexibilisation/sub_scenarios/emissions.xlsx,annual_carbon_constraint,3,46,scenario|units|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,baseline,a8aa799e729b8cee5dff3d0e23500bf4babc6602077cb1e8614334ac05d2df91
Coal_Flexibilisation,emissions,scenarios/Coal_Flexibilisation/sub_scenarios/emissions.xlsx,carbon_tax,14,41,scenario|units|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060||,,baseline,a8aa799e729b8cee5dff3d0e23500bf4babc6602077cb1e8614334ac05d2df91
Coal_Flexibilisation,emissions,scenarios/Coal_Flexibilisation/sub_scenarios/emissions.xlsx,fixed_generator_emissions,91,45,scenario|station_name|units|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,baseline,a8aa799e729b8cee5dff3d0e23500bf4babc6602077cb1e8614334ac05d2df91
Coal_Flexibilisation,emissions,scenarios/Coal_Flexibilisation/sub_scenarios/emissions.xlsx,extendable_generator_emissions,134,46,scenario|carrier|units|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060|source,,baseline,a8aa799e729b8cee5dff3d0e23500bf4babc6602077cb1e8614334ac05d2df91
Coal_Flexibilisation,extendable_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/extendable_technologies.xlsx,active,24,11,component|carrier|category|BASE|NFS|NPS|NFS_NPS|P1|M2045|NO_GAS|BLEND,,expansion,0c4818338ab17992658220925caa84fc671a367e4f6aaf0bb7ffbe2145d35654
Coal_Flexibilisation,extendable_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/extendable_technologies.xlsx,parameter_mapping,164,22,scenario|carrier|FOM|overnight_capex|total_vs_overnight_capex_ratio|VOM|lifetime|max_hours|heat_rate|efficiency|build_phase_in|ramp_limit_up|ramp_limit_down|committable|ramp_limit_start_up|ramp_limit_shut_down|min_stable_level|min_up_time|min_down_time|start_up_cost|shut_down_cost|discount_rate,,expansion,0c4818338ab17992658220925caa84fc671a367e4f6aaf0bb7ffbe2145d35654
Coal_Flexibilisation,extendable_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/extendable_technologies.xlsx,parameters,518,42,scenario|carrier|parameter|units|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060|source,,expansion,0c4818338ab17992658220925caa84fc671a367e4f6aaf0bb7ffbe2145d35654
Coal_Flexibilisation,extendable_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/extendable_technologies.xlsx,max_total_installed,127,47,scenario|supply_region|location|component|carrier|category|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,expansion,0c4818338ab17992658220925caa84fc671a367e4f6aaf0bb7ffbe2145d35654
Coal_Flexibilisation,extendable_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/extendable_technologies.xlsx,min_total_installed,14,42,scenario|supply_region|location|component|carrier|category|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,expansion,0c4818338ab17992658220925caa84fc671a367e4f6aaf0bb7ffbe2145d35654
Coal_Flexibilisation,extendable_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/extendable_technologies.xlsx,max_annual_installed,75,47,scenario|supply_region|location|component|carrier|category|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,expansion,0c4818338ab17992658220925caa84fc671a367e4f6aaf0bb7ffbe2145d35654
Coal_Flexibilisation,extendable_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/extendable_technologies.xlsx,min_annual_installed,8,47,scenario|supply_region|location|component|carrier|category|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,expansion,0c4818338ab17992658220925caa84fc671a367e4f6aaf0bb7ffbe2145d35654
Coal_Flexibilisation,fixed_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/fixed_technologies.xlsx,conventional,243,31,scenario|station_name|grouping|carrier|dispatch_committable|unit_size (MW)|number_units|capacity (MW)|commissioning_date|decommissioning_date|avg_heat_rate (GJ/MWh)|marginal_heat_rate (GJ/MWh)|no_load_heat_rate (GJ/h)|co2_emissions_input (kgCO2/GJ)|co2_emissions_output (kgCO2/MWh)|fuel_price (R/GJ)|max_ramp_up (%/h)|max_ramp_down (%/h)|max_ramp_start_up (%/h)|max_ramp_shut_down (%/h)|min_stable_level (%)|min_up_time (h)|min_down_time (h)|variable_om_cost (R/MWh)|fixed_om_cost (R/kW/yr)|unit_start_cost (R)|start_up_cost (R)|shut_down_cost (R)|gps_lat|gps_lon|comments,,baseline,27e0cb58d1db16a99d397956ec2588f65ce319ef08355c20fa1eadfb013ad4a8
Coal_Flexibilisation,fixed_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/fixed_technologies.xlsx,renewables,152,16,scenario|station_name|model_key|grouping|carrier|capacity (MW)|variable_om_cost (R/MWh)|fixed_om_cost (R/kW/yr)|pv_mounting|pv_dc_ac_ratio|wind_hub_height|csp_storage_hours|commissioning_date|decommissioning_date|gps_lat|gps_lon,,baseline,27e0cb58d1db16a99d397956ec2588f65ce319ef08355c20fa1eadfb013ad4a8
Coal_Flexibilisation,fixed_technologies,scenarios/Coal_Flexibilisation/sub_scenarios/fixed_technologies.xlsx,storage,31,14,scenario|station_name|grouping|carrier|capacity (MW)|commissioning_date|decommissioning_date|variable_om_cost (R/MWh)|fixed_om_cost (R/kW/yr)|round_trip_efficiency (%)|storage_energy (GWh)|storage_hours|gps_lat|gps_lon,,baseline,27e0cb58d1db16a99d397956ec2588f65ce319ef08355c20fa1eadfb013ad4a8
Coal_Flexibilisation,fuel_prices,scenarios/Coal_Flexibilisation/sub_scenarios/fuel_prices.xlsx,fixed_generators,48,45,scenario|station_name|parameter|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,baseline,63af0d0990efc9d55d0f1dcc5b2f6ba162e298aad11486d9ebcf6a1447074d49
Coal_Flexibilisation,fuel_prices,scenarios/Coal_Flexibilisation/sub_scenarios/fuel_prices.xlsx,extendable_generators,111,45,scenario|station_name|parameter|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,baseline,63af0d0990efc9d55d0f1dcc5b2f6ba162e298aad11486d9ebcf6a1447074d49
Coal_Flexibilisation,fuel_prices,scenarios/Coal_Flexibilisation/sub_scenarios/fuel_prices.xlsx,green_NH3,89,16,2020.04674809648|714.283994686124|1394.4129896677|$/t|CV|0.0185|GJ/kg|||||||||,,baseline,63af0d0990efc9d55d0f1dcc5b2f6ba162e298aad11486d9ebcf6a1447074d49
Coal_Flexibilisation,fuel_prices,scenarios/Coal_Flexibilisation/sub_scenarios/fuel_prices.xlsx,fuel_and_co2tax,80,45,scenario|station_name|parameter|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,baseline,63af0d0990efc9d55d0f1dcc5b2f6ba162e298aad11486d9ebcf6a1447074d49
Coal_Flexibilisation,fuel_prices,scenarios/Coal_Flexibilisation/sub_scenarios/fuel_prices.xlsx,carbon_tax,8,39,scenario|units|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,baseline,63af0d0990efc9d55d0f1dcc5b2f6ba162e298aad11486d9ebcf6a1447074d49
Coal_Flexibilisation,operational_constraints,scenarios/Coal_Flexibilisation/sub_scenarios/operational_constraints.xlsx,operational_constraints,159,50,scenario|bus|tech_fuel|capacity_factor|period|incl_pu|limit|apply_to|units|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,validation,1951cc8c57a811f92d81eafd95a53c83562743637945eb7948e6be1a55719a06
Coal_Flexibilisation,operational_constraints,scenarios/Coal_Flexibilisation/sub_scenarios/operational_constraints.xlsx,operational_reserves,3,44,scenario|type|bus|2020|2021|||||||||||||||||||||||||||||||||||||||,,validation,1951cc8c57a811f92d81eafd95a53c83562743637945eb7948e6be1a55719a06
Coal_Flexibilisation,phased_decommissioning,scenarios/Coal_Flexibilisation/sub_scenarios/phased_decommissioning.xlsx,schedule,290,19,scenario|year|month|Arnot|Camden|Duvha|Grootvlei|Hendrina|Kelvin|Kendal|Kriel|Kusile|Lethabo|Majuba|Matimba|Matla|Medupi|Tutuka|Total,,baseline,d18161c823d13780f29499c158f46b5fd669ccdbdb7dc867f510e1f626d735f5
Coal_Flexibilisation,phased_decommissioning,scenarios/Coal_Flexibilisation/sub_scenarios/phased_decommissioning.xlsx,archive,38,22,scenario|year|month|Arnot|Camden|Duvha|Grootvlei|Hendrina|Kelvin|Kendal|Kriel|Kusile|Lethabo|Majuba|Matimba|Matla|Medupi|Tutuka|RSA-coal_eskom_low|RSA-coal_eskom_med|RSA-coal_eskom_high|Total,,baseline,d18161c823d13780f29499c158f46b5fd669ccdbdb7dc867f510e1f626d735f5
Coal_Flexibilisation,plant_availability,scenarios/Coal_Flexibilisation/sub_scenarios/plant_availability.xlsx,annual_availability,171,46,scenario|parameter|unit|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,validation,da2079af787f03f643d90cc5302dce332815232fd96da64d39519645a2a93d95
Coal_Flexibilisation,plant_availability,scenarios/Coal_Flexibilisation/sub_scenarios/plant_availability.xlsx,outage_profiles,222,50,|||fixed_generators|||||||||||||||||||||||||||||||||||extendable_generators|||||||||||,,validation,da2079af787f03f643d90cc5302dce332815232fd96da64d39519645a2a93d95
Coal_Flexibilisation,reserve_margin,scenarios/Coal_Flexibilisation/sub_scenarios/reserve_margin.xlsx,reserve_margin,9,47,scenario|parameter|units|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,validation,3da78094bb9ddcf1c08a66d821d6d6a7c8476d855f47d83b8f2a8d529688e51d
Coal_Flexibilisation,reserve_margin,scenarios/Coal_Flexibilisation/sub_scenarios/reserve_margin.xlsx,capacity_credits,25,6,technology|BASE1|BASE2|BASE3|BASE4|COAL_75,,validation,3da78094bb9ddcf1c08a66d821d6d6a7c8476d855f47d83b8f2a8d529688e51d
Coal_Flexibilisation,transmission_expansion,scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,transmission_expansion,17,46,scenario|bus0|bus1|voltage (kV)|length (km)|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,expansion,1e386aed6b3dcf7dee537a2366bc7d3aebc3cef6c2c34d2e1889026262b24964
Coal_Flexibilisation,weather,scenarios/Coal_Flexibilisation/sub_scenarios/weather.xlsx,weather_years,19,37,scenario|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060,,baseline,d13701b2b55486c5a3a1f1b72b4063bd4a6f554db521204c0b990eafb64a5512
